1.0,1.0,0.0,0.0
1.0,2.0,136.1143,0.0
1.0,3.0,70.4523,0.0
1.0,4.0,150.504,0.0
1.0,5.0,104.7138,0.0
1.0,6.0,135.132,0.0
1.0,7.0,136.0866,0.0
1.0,8.0,202.2155,0.0
1.0,9.0,159.4466,0.0
1.0,10.0,234.7364,0.0
1.0,11.0,206.3248,0.0
1.0,12.0,275.8266,0.0
1.0,13.0,284.999,0.0
1.0,14.0,311.1403,0.0
1.0,15.0,398.1652,0.0
1.0,16.0,422.5284,0.0
1.0,17.0,445.7583,0.0
1.0,18.0,505.9059,0.0
1.0,19.0,406.0312,0.0
1.0,20.0,396.6135,0.0
1.0,21.0,362.6826,0.0
1.0,22.0,348.1954,0.0
1.0,23.0,313.825,0.0
1.0,24.0,329.7352,0.0
1.0,25.0,277.7528,0.0
1.0,26.0,237.0202,0.0
1.0,27.0,292.5256,0.0
1.0,28.0,326.7106,0.0
1.0,29.0,301.8313,0.0
1.0,30.0,274.3828,0.0
1.0,31.0,331.769,0.0
1.0,32.0,322.2628,0.0
1.0,33.0,314.0397,0.0
1.0,34.0,303.1469,0.0
1.0,35.0,264.3879,0.0
1.0,36.0,209.6976,0.0
1.0,37.0,211.0473,0.0
1.0,38.0,265.1031,0.0
1.0,39.0,197.5045,0.0
1.0,40.0,203.2667,0.0
1.0,41.0,187.9595,0.0
1.0,42.0,237.6808,0.0
1.0,43.0,230.1473,0.0
1.0,44.0,274.1106,0.0
1.0,45.0,259.8609,0.0
1.0,46.0,265.7296,0.0
1.0,47.0,253.5552,0.0
1.0,48.0,255.5537,0.0
1.0,49.0,293.5967,0.0
1.0,50.0,314.5466,0.0
1.0,51.0,316.8193,0.0
1.0,52.0,295.5883,0.0
1.0,53.0,321.2697,0.0
1.0,54.0,324.9639,0.0
1.0,55.0,339.786,0.0
1.0,56.0,339.5089,0.0
1.0,57.0,359.5498,0.0
1.0,58.0,355.9528,0.0
1.0,59.0,330.678,0.0
1.0,60.0,344.8226,0.0
1.0,61.0,354.272,0.0
1.0,62.0,359.1778,0.0
1.0,63.0,378.7377,0.0
1.0,64.0,394.4,0.0
1.0,65.0,398.4823,0.0
1.0,66.0,397.5772,0.0
1.0,67.0,422.7745,0.0
1.0,68.0,428.139,0.0
1.0,69.0,430.2626,0.0
1.0,70.0,440.4092,0.0
1.0,71.0,462.2267,0.0
