BLK00,TAZ_2000,lat,lon
270030501122013,15,45.3899093000,-93.0941560000
270030501071049,1,45.3846681000,-93.3724840000
270030501092005,12,45.3873190000,-93.1617180000
270030501122001,15,45.3744997000,-93.0655710000
270030501122014,15,45.3886347000,-93.0969230000
270030501122015,15,45.3886357000,-93.0925700000
270030501122000,15,45.3668341000,-93.0356670000
270030501081014,1,45.3862618000,-93.3651990000
270030501122017,15,45.3871956000,-93.0942260000
270030501082012,2,45.3866102000,-93.2736440000
270030501122019,15,45.3835740000,-93.1049670000
270030501081001,2,45.3829491000,-93.3555020000
270030501082009,2,45.3858690000,-93.3497700000
270030501081998,2,45.3813076000,-93.3564100000
270030501081015,1,45.3861985000,-93.3617240000
270030501081020,2,45.3816727000,-93.3592520000
270030501081016,1,45.3861894000,-93.3601990000
270030501081005,1,45.3863721000,-93.3591840000
270030501082008,2,45.3853841000,-93.3455740000
270030501081004,2,45.3856967000,-93.3530900000
270030501071028,1,45.3856010000,-93.4938960000
270030501082030,9,45.3857643000,-93.2653550000
270030501163001,3,45.3802692000,-93.5006850000
270030501122018,15,45.3855851000,-93.0949690000
270030501121028,15,45.3860757000,-93.0188110000
270030501163000,3,45.3766184000,-93.4756150000
270030501081017,1,45.3851156000,-93.3604120000
270030501081018,1,45.3844006000,-93.3618260000
270030501161006,3,45.3822074000,-93.4557720000
270030501081003,2,45.3836583000,-93.3535300000
270030501161004,3,45.3836050000,-93.4459990000
270030501161005,3,45.3844072000,-93.4406810000
270030501082031,9,45.3849965000,-93.2659280000
270030501161003,3,45.3775110000,-93.4387570000
270030501161002,3,45.3778533000,-93.4210260000
270030501161001,3,45.3827402000,-93.4100470000
270030501161000,3,45.3825000000,-93.3964800000
270030501141005,5,45.3822221000,-93.3851550000
270030501141006,5,45.3827408000,-93.3803100000
270030501142000,7,45.3813219000,-93.3498800000
270030501094000,12,45.3798865000,-93.2054800000
270030501152000,9,45.3773992000,-93.3345970000
270030501152001,9,45.3839018000,-93.3329100000
270030501081019,1,45.3830228000,-93.3653000000
270030501151006,9,45.3768468000,-93.3053820000
270030501092009,12,45.3735795000,-93.1893880000
270030501092008,12,45.3838311000,-93.1788230000
270030501092007,12,45.3779274000,-93.1719910000
270030501092006,12,45.3737227000,-93.1529930000
270030501122022,15,45.3721469000,-93.1236270000
270030501151007,9,45.3835153000,-93.3090250000
270030501151005,9,45.3825815000,-93.2936390000
270030501094003,12,45.3824914000,-93.2123220000
270030501151004,9,45.3828905000,-93.2909790000
270030501151003,9,45.3842534000,-93.2877200000
270030501094009,12,45.3758913000,-93.2214870000
270030501151002,9,45.3775967000,-93.2807660000
270030501151000,9,45.3770998000,-93.2691450000
270030501151001,9,45.3787042000,-93.2739860000
270030501094008,12,45.3817557000,-93.2224220000
270030501122035,15,45.3834825000,-93.0964540000
270030501151011,9,45.3824651000,-93.2877730000
270030501122034,15,45.3836844000,-93.0913070000
270030501122999,15,45.3820462000,-93.0668780000
270030501122033,15,45.3830782000,-93.0915620000
270030501122003,15,45.3794514000,-93.0851140000
270030501161007,3,45.3773009000,-93.4538840000
270030501122036,15,45.3819255000,-93.0979010000
270030501122037,15,45.3819410000,-93.0970210000
270030501122038,15,45.3819121000,-93.0961550000
270030501122039,15,45.3818729000,-93.0952670000
270030501122032,15,45.3825123000,-93.0927300000
270030501081021,1,45.3792972000,-93.3727430000
270030501161012,3,45.3656427000,-93.4029390000
270030501122031,15,45.3818950000,-93.0929250000
270030501094001,12,45.3813090000,-93.2059810000
270030501151008,9,45.3804445000,-93.3148590000
270030501122029,15,45.3812369000,-93.0931660000
270030501151009,9,45.3796499000,-93.2920490000
270030501151010,9,45.3797902000,-93.2877700000
270030501094002,12,45.3799081000,-93.2011490000
270030501122026,15,45.3714400000,-93.0958560000
270030501081025,1,45.3795547000,-93.3631470000
270030501122030,15,45.3803968000,-93.0933700000
270030501122028,15,45.3800394000,-93.0922570000
270030501141007,5,45.3798990000,-93.3863920000
270030501081022,5,45.3780633000,-93.3805270000
270030501141003,5,45.3753816000,-93.3814250000
270030501161999,3,45.3786971000,-93.3912990000
270030501141997,5,45.3787333000,-93.3870590000
270030501141008,5,45.3779760000,-93.3848220000
270030501094010,12,45.3787915000,-93.2241790000
270030501081024,1,45.3787625000,-93.3619500000
270030501141004,5,45.3790476000,-93.3836000000
270030501081002,7,45.3776747000,-93.3542050000
270030501122002,15,45.3776120000,-93.0754950000
270030501081023,5,45.3775038000,-93.3634930000
270030501142001,7,45.3753029000,-93.3516550000
270030501091013,11,45.3734133000,-93.2398210000
270030501141009,5,45.3769669000,-93.3873490000
270030501141010,5,45.3710736000,-93.3861430000
270030501141002,5,45.3725930000,-93.3726970000
270030501141001,5,45.3761502000,-93.3638510000
270030501141014,5,45.3687185000,-93.3640240000
270030501141999,7,45.3492959000,-93.3640770000
270030501141000,7,45.3761590000,-93.3570290000
270030501094011,12,45.3762434000,-93.2099960000
270030501091012,11,45.3749361000,-93.2600600000
270030501163002,3,45.3693298000,-93.4960870000
270030501122027,15,45.3755766000,-93.0925600000
270030501094012,12,45.3726610000,-93.2085970000
270030501161008,3,45.3709909000,-93.4575400000
270030501141012,5,45.3686072000,-93.3764470000
270030501161009,3,45.3714643000,-93.4483280000
270030501142002,7,45.3717680000,-93.3502350000
270030501142003,7,45.3714896000,-93.3561100000
270030501141011,5,45.3676290000,-93.3806010000
270030501161998,3,45.3688570000,-93.3919210000
270030501161011,3,45.3670372000,-93.4208850000
270030501141998,5,45.3695105000,-93.3877310000
270030501091014,11,45.3710361000,-93.2372670000
270030501161010,3,45.3682439000,-93.4412430000
270030501142004,7,45.3669756000,-93.3516880000
270030501152002,9,45.3649850000,-93.3303320000
270030501093014,11,45.3673364000,-93.2599040000
270030501093013,11,45.3622230000,-93.2586210000
270030501093011,11,45.3627377000,-93.2453540000
270030501142006,7,45.3550010000,-93.3565320000
270030501151018,9,45.3633704000,-93.2812280000
270030501151019,9,45.3689064000,-93.2771330000
270030501151020,9,45.3628499000,-93.2712020000
270030501151013,9,45.3616935000,-93.2949090000
270030501151012,9,45.3686560000,-93.2930040000
270030501093001,13,45.3536906000,-93.2186150000
270030501151017,9,45.3683634000,-93.3002230000
270030501151016,9,45.3628005000,-93.3101350000
270030501092010,13,45.3625763000,-93.1736780000
270030501093002,13,45.3678278000,-93.2051740000
270030501161024,3,45.3681916000,-93.4503200000
270030501161019,3,45.3586491000,-93.4229250000
270030501161997,3,45.3683833000,-93.4310970000
270030501141015,5,45.3683708000,-93.3646700000
270030501161020,3,45.3618318000,-93.4354170000
270030501161996,3,45.3662153000,-93.4386090000
270030501093015,11,45.3682697000,-93.2600370000
270030501122040,15,45.3678643000,-93.0732050000
270030501122025,15,45.3668237000,-93.1070740000
270030501161023,3,45.3550956000,-93.4599550000
270030501161022,3,45.3633848000,-93.4475110000
270030501142005,7,45.3662139000,-93.3555800000
270030501141016,5,45.3658369000,-93.3642030000
270030501122023,15,45.3646532000,-93.1408000000
270030501141018,5,45.3645296000,-93.3855810000
270030501122024,15,45.3660180000,-93.1088550000
270030501141013,5,45.3560370000,-93.3697020000
270030501131000,15,45.3506813000,-93.0719250000
270030501093016,11,45.3644185000,-93.2637140000
270030501163004,3,45.3537503000,-93.4973110000
270030501163003,3,45.3606275000,-93.4796800000
270030501141019,5,45.3607959000,-93.3884750000
270030501131001,15,45.3632347000,-93.0736630000
270030501093000,13,45.3491153000,-93.1952630000
270030501161013,3,45.3530917000,-93.3918310000
270030501141017,5,45.3607244000,-93.3811970000
270030501152003,9,45.3527190000,-93.3349770000
270030501141020,5,45.3607745000,-93.3867640000
270030501161021,3,45.3525738000,-93.4423070000
270030501111000,13,45.3544467000,-93.1520520000
270030501131017,15,45.3584927000,-93.1409240000
270030501161018,3,45.3528603000,-93.4134140000
270030501131015,15,45.3486860000,-93.1357890000
270030501131002,15,45.3591546000,-93.0668840000
270030501151015,9,45.3595651000,-93.3094030000
270030501142009,9,45.3560009000,-93.3490620000
270030501093009,13,45.3578326000,-93.2361410000
270030501151999,9,45.3567502000,-93.3044810000
270030501131019,15,45.3584288000,-93.1139720000
270030501131992,15,45.3516596000,-93.1080330000
270030501093010,13,45.3541638000,-93.2321230000
270030501131020,15,45.3578950000,-93.1115180000
270030501141021,5,45.3497248000,-93.3814580000
270030501142007,7,45.3582055000,-93.3587750000
270030501131016,15,45.3574675000,-93.1366300000
270030501131011,15,45.3392593000,-93.1261670000
270030501093012,11,45.3570813000,-93.2485070000
270030501161026,3,45.3453961000,-93.4264950000
270030501131018,15,45.3565735000,-93.1154580000
270030501111001,13,45.3499580000,-93.1615140000
270030501154001,9,45.3541945000,-93.2697160000
270030501154000,9,45.3557131000,-93.2663290000
270030501101006,10,45.3459351000,-93.2622790000
270030501101001,10,45.3393450000,-93.2541390000
270030501101000,10,45.3452100000,-93.2420250000
270030501093008,13,45.3525300000,-93.2353910000
270030501154003,9,45.3450344000,-93.2746600000
270030501154002,9,45.3533835000,-93.2725990000
270030501154009,9,45.3505295000,-93.2827170000
270030501154011,9,45.3412242000,-93.3004980000
270030501154010,9,45.3528435000,-93.2875440000
270030501111004,13,45.3337873000,-93.1774570000
270030501111003,13,45.3524509000,-93.1792330000
270030501111002,13,45.3502169000,-93.1699460000
270030501152004,9,45.3537356000,-93.3239170000
270030501152005,9,45.3533545000,-93.3211860000
270030501154008,9,45.3536344000,-93.2674900000
270030501163005,3,45.3538938000,-93.4708230000
270030501093999,13,45.3462909000,-93.2010800000
270030501142008,7,45.3530561000,-93.3559440000
270030501163007,3,45.3454420000,-93.4839460000
270030501151014,9,45.3529215000,-93.3082780000
270030501141022,5,45.3506840000,-93.3713020000
270030501163006,3,45.3423779000,-93.4744030000
270030501093004,13,45.3513182000,-93.2288290000
270030501161014,3,45.3501159000,-93.3995350000
270030501093003,13,45.3517502000,-93.2242160000
270030501154007,9,45.3506018000,-93.2670960000
270030501152006,9,45.3500448000,-93.3183860000
270030501093005,13,45.3500199000,-93.2256680000
270030501152015,9,45.3483401000,-93.3293620000
270030501152007,9,45.3487744000,-93.3196360000
270030501152014,9,45.3466508000,-93.3324440000
270030501161015,3,45.3414635000,-93.4040600000
270030501101004,10,45.3442819000,-93.2513150000
270030501152008,9,45.3417978000,-93.3224880000
270030501142010,7,45.3462704000,-93.3552850000
270030501142011,7,45.3453720000,-93.3501700000
270030501154006,9,45.3459775000,-93.2663890000
270030501161016,3,45.3361093000,-93.3943260000
270030501141023,5,45.3442049000,-93.3704990000
270030501093006,13,45.3469678000,-93.2292250000
270030501111999,13,45.3456584000,-93.1434250000
270030501142013,7,45.3339729000,-93.3602820000
270030501161029,3,45.3366966000,-93.4606250000
270030501161025,3,45.3404245000,-93.4401780000
270030501142014,7,45.3438288000,-93.3568070000
270030501131991,15,45.3425693000,-93.1414870000
270030501093007,13,45.3457886000,-93.2299960000
270030501161017,3,45.3399316000,-93.4139210000
270030501154005,9,45.3438548000,-93.2680260000
270030501152013,9,45.3400319000,-93.3401970000
270030501154004,9,45.3437560000,-93.2768990000
270030501141024,5,45.3427254000,-93.3670190000
270030501111998,13,45.3437698000,-93.1432410000
270030501111007,13,45.3426280000,-93.1459910000
270030501111006,13,45.3376702000,-93.1503300000
270030501111005,13,45.3407289000,-93.1612800000
270030501154012,9,45.3397777000,-93.2841030000
270030501142012,7,45.3406821000,-93.3504120000
270030501163010,3,45.3385806000,-93.5082500000
270030501163009,3,45.3347089000,-93.5028740000
270030501163008,3,45.3398738000,-93.4953850000
270030501161995,3,45.3379142000,-93.4450030000
270030501101005,10,45.3409318000,-93.2526910000
270030501111997,13,45.3397378000,-93.1469940000
270030501161994,3,45.3383184000,-93.4522530000
270030501131014,15,45.3418739000,-93.1424710000
270030501141026,5,45.3388071000,-93.3812860000
270030501141025,5,45.3351721000,-93.3702770000
270030501152009,9,45.3392156000,-93.3201730000
270030501161027,3,45.3375031000,-93.4324810000
270030501131010,15,45.3341915000,-93.0995470000
270030501131003,15,45.3359318000,-93.0558760000
270030501131004,15,45.3326195000,-93.0404420000
270030501152012,9,45.3371886000,-93.3333270000
270030501131005,15,45.3370161000,-93.0221680000
270030501131006,15,45.3396156000,-93.0197950000
270030501152010,9,45.3358195000,-93.3222310000
270030501154015,9,45.3358109000,-93.2753000000
270030501101003,10,45.3372239000,-93.2490730000
270030501152011,9,45.3372981000,-93.3198590000
270030501142015,7,45.3364157000,-93.3563170000
270030501154031,9,45.3367611000,-93.3144040000
270030501142016,7,45.3360111000,-93.3593550000
270030501142017,7,45.3343065000,-93.3543290000
270030501142018,7,45.3338239000,-93.3505270000
270030501111008,13,45.3344081000,-93.1537190000
270030501111009,13,45.3352853000,-93.1612580000
270030501154016,9,45.3370973000,-93.2658610000
270030501111010,13,45.3267443000,-93.1584460000
270030501101007,10,45.3288674000,-93.2617770000
270030501141027,5,45.3316817000,-93.3834780000
270030501142019,7,45.3346466000,-93.3490130000
270030501163011,3,45.3311491000,-93.4959620000
270030501163012,3,45.3316767000,-93.4816070000
270030501141028,5,45.3323763000,-93.3777440000
270030501163999,3,45.3341846000,-93.5100690000
270030501154030,9,45.3348919000,-93.3143310000
270030501131009,15,45.3328142000,-93.0745670000
270030501141030,5,45.3313426000,-93.3880220000
270030501162005,3,45.3312391000,-93.4303370000
270030501162004,3,45.3309179000,-93.4153390000
270030501162003,3,45.3314690000,-93.4116010000
270030501162002,3,45.3314429000,-93.4058040000
270030501153008,9,45.3308782000,-93.3430530000
270030501154019,9,45.3317444000,-93.2766670000
270030501154018,9,45.3312094000,-93.2722720000
270030501154017,9,45.3328358000,-93.2692470000
270030501153006,9,45.3332462000,-93.3344400000
270030501161030,3,45.3324290000,-93.4698850000
270030501153007,9,45.3325809000,-93.3388840000
270030501101014,10,45.3256141000,-93.2429370000
270030501153005,9,45.3295720000,-93.3365740000
270030501153004,9,45.3327198000,-93.3302840000
270030501153003,9,45.3326980000,-93.3272450000
270030501101015,10,45.3324200000,-93.2445520000
270030501153002,9,45.3314847000,-93.3241030000
270030501102002,13,45.3282791000,-93.2327790000
270030501102001,13,45.3311114000,-93.2224140000
270030501131999,15,45.3342841000,-93.0196220000
270030501102000,13,45.3268703000,-93.2082480000
270030501161028,3,45.3322282000,-93.4469710000
270030501153001,9,45.3313959000,-93.3210760000
270030501153000,9,45.3313231000,-93.3182500000
270030501154029,9,45.3284061000,-93.3121390000
270030501131007,15,45.3292247000,-93.0274880000
270030501131998,15,45.3326119000,-93.0310460000
270030501154013,9,45.3328325000,-93.2841220000
270030501153012,9,45.3322572000,-93.3293040000
270030501154014,9,45.3261808000,-93.2834180000
270030501153999,9,45.3285666000,-93.3451420000
270030501162006,3,45.3298403000,-93.4466720000
270030501153009,9,45.3253374000,-93.3452000000
270030501154021,9,45.3298885000,-93.2678680000
270030501154028,9,45.3247310000,-93.2934290000
270030501131024,15,45.3289904000,-93.0785900000
270030501131994,15,45.3289394000,-93.0903030000
270030501162007,3,45.3295116000,-93.4606470000
270030501131008,15,45.3286337000,-93.0675880000
270030501153010,9,45.3244332000,-93.3285960000
270030501142020,7,45.3300412000,-93.3497980000
270030501163013,3,45.3302467000,-93.4753290000
270030501131021,15,45.3292626000,-93.0910200000
270030501112000,14,45.3282675000,-93.1441310000
270030501101002,10,45.3294100000,-93.2539530000
270030501111012,13,45.3221119000,-93.1847670000
270030501154020,9,45.3251630000,-93.2723070000
270030501131023,15,45.3277400000,-93.0860310000
270030501131995,15,45.3277931000,-93.0843590000
270030501142021,7,45.3281457000,-93.3496340000
270030501163015,4,45.3135809000,-93.5057220000
270030501131012,15,45.3290136000,-93.1266110000
270030501163014,4,45.3176439000,-93.4893060000
270030501153011,9,45.3279555000,-93.3206600000
270030501162009,6,45.3242479000,-93.4469110000
270030501162010,6,45.3241806000,-93.4319910000
270030501162008,6,45.3231713000,-93.4596890000
270030501112001,14,45.3264537000,-93.1471990000
270030501131013,15,45.3274310000,-93.1247670000
270030501162011,6,45.3259676000,-93.4155230000
270030501131997,15,45.3269165000,-93.0771500000
270030501162012,6,45.3229353000,-93.4144630000
270030501162001,6,45.3238476000,-93.4066930000
270030501162000,6,45.3224684000,-93.3950360000
270030501141029,5,45.3237461000,-93.3838840000
270030501141031,5,45.3235666000,-93.3751690000
270030501142999,5,45.3143547000,-93.3732450000
270030501142025,7,45.3137033000,-93.3676320000
270030501142024,7,45.3259375000,-93.3661630000
270030501142023,7,45.3254495000,-93.3562070000
270030501142022,7,45.3258183000,-93.3492810000
270030501102005,13,45.3223584000,-93.2263080000
270030501102003,13,45.3251703000,-93.2361150000
270030501112002,14,45.3226271000,-93.1508300000
270030501101010,10,45.3250509000,-93.2646120000
270030501101008,10,45.3258731000,-93.2606060000
270030501131022,15,45.3264808000,-93.0931890000
270030501131025,15,45.3262778000,-93.0700540000
270030502101007,16,45.3233505000,-93.1270850000
270030502101006,16,45.3227274000,-93.1077820000
270030501131996,15,45.3263002000,-93.0816720000
270030501154032,9,45.3225045000,-93.3095620000
270030501112004,14,45.3226548000,-93.1441530000
270030502101008,16,45.3253990000,-93.1368080000
270030501131993,15,45.3262586000,-93.0920420000
270030502101997,16,45.3230225000,-93.0869730000
270030502101998,16,45.3228650000,-93.0771470000
270030502101000,16,45.3082002000,-93.0673820000
270030501101009,10,45.3247460000,-93.2615750000
270030501111013,13,45.3218745000,-93.1945220000
270030501154022,9,45.3243104000,-93.2785650000
270030502101996,16,45.3195487000,-93.1375910000
270030501142026,7,45.3098422000,-93.3568590000
270030501153013,9,45.3234632000,-93.3400180000
270030501112003,14,45.3227676000,-93.1459400000
270030501142031,7,45.3222564000,-93.3497890000
270030501101011,10,45.3226641000,-93.2626500000
270030501163019,4,45.3170782000,-93.4731890000
270030501112998,14,45.3176656000,-93.1499560000
270030501154023,8,45.3175620000,-93.2747060000
270030501101012,10,45.3221814000,-93.2607780000
270030501101013,10,45.3212345000,-93.2629120000
270030501162018,6,45.3147912000,-93.4513150000
270030501112999,16,45.3226640000,-93.1427450000
270030501112006,14,45.3173320000,-93.1566060000
270030501142030,7,45.3206773000,-93.3523220000
270030501153016,9,45.3210270000,-93.3450290000
270030501102004,13,45.3204902000,-93.2336640000
270030501154999,8,45.3182932000,-93.2809780000
270030501154033,9,45.3207021000,-93.3154280000
270030501112005,16,45.3207155000,-93.1420120000
270030502101009,16,45.3190214000,-93.1297110000
270030501162017,6,45.3157837000,-93.4458390000
270030501162015,6,45.3154337000,-93.4350820000
270030501162014,6,45.3188782000,-93.4219980000
270030501162013,6,45.3138478000,-93.4131340000
270030501162027,6,45.3166177000,-93.4070680000
270030501162028,6,45.3083239000,-93.3975420000
270030501142029,7,45.3189209000,-93.3530390000
270030501153015,8,45.3188676000,-93.3453420000
270030501141034,5,45.3138092000,-93.3845100000
270030501141032,5,45.3083759000,-93.3791080000
270030501153014,8,45.3193393000,-93.3406520000
270030501154027,8,45.3141839000,-93.2973380000
270030501154026,8,45.3182808000,-93.2870850000
270030501154025,8,45.3194344000,-93.2863500000
270030501154024,8,45.3193240000,-93.2848420000
270030501153018,8,45.3129005000,-93.3301620000
270030501102014,10,45.3085154000,-93.2582240000
270030501102013,10,45.3185513000,-93.2534530000
270030501102012,10,45.3193039000,-93.2532110000
270030501153022,8,45.3132318000,-93.3107630000
270030501102011,10,45.3161692000,-93.2436490000
270030501162999,6,45.3179558000,-93.3940470000
270030501102006,14,45.3112035000,-93.2253730000
270030501102007,14,45.3175063000,-93.2112950000
270030501112014,14,45.3104543000,-93.1948330000
270030501163020,4,45.3181293000,-93.4639520000
270030502101010,16,45.2984216000,-93.1236600000
270030501154038,8,45.3180452000,-93.2855750000
270030501163021,4,45.3072819000,-93.4630700000
270030502101011,16,45.3174554000,-93.1191050000
270030501142998,5,45.3165933000,-93.3724190000
270030501162026,6,45.3158576000,-93.4238740000
270030501162025,6,45.3116381000,-93.4254690000
270030501154037,8,45.3170369000,-93.2858840000
270030501153019,8,45.3130183000,-93.3455450000
270030501162016,6,45.3154847000,-93.4401630000
270030501154035,8,45.3125815000,-93.2869430000
