stopID,lineno
34,643
34,663
34,16558
36,16558
37,16558
39,16558
40,16558
42,16558
50,16558
51,16558
52,16558
53,16558
54,16558
55,16558
56,16558
57,16558
58,133
58,16558
59,133
59,16558
60,133
60,16558
61,133
61,16558
62,133
62,16558
63,133
63,16558
64,133
64,16558
65,133
65,16558
66,111
66,133
66,16558
67,111
67,133
67,16558
68,111
68,133
68,16558
69,111
69,133
69,16558
70,111
70,133
70,16558
71,111
71,133
71,16558
72,111
72,133
72,16558
73,111
73,16558
74,14
74,111
74,16558
75,111
75,16558
76,111
76,16558
77,111
77,16558
78,111
78,16558
79,111
79,16558
80,16528
81,16528
83,23
83,16528
84,23
84,16528
85,16528
87,16528
88,16528
89,16528
90,16528
91,16528
94,16528
95,16528
96,146
96,16528
97,146
97,16528
98,146
98,16528
101,46
101,568
101,16528
102,113
102,115
102,16528
103,113
103,115
103,16528
104,113
104,115
104,16528
105,113
105,16528
106,113
106,16528
107,113
107,16528
110,16528
111,16528
112,16528
113,16528
119,16528
134,16528
135,16528
136,16528
137,156
137,558
137,16528
139,16528
141,156
141,16528
142,156
142,558
142,16528
144,113
146,113
146,16528
149,46
149,146
149,16528
150,146
150,16528
151,146
151,16528
152,146
152,16528
153,146
153,16528
154,16528
155,16528
156,16528
157,16528
158,16528
159,16528
160,16528
161,16528
162,23
162,16528
163,23
163,16528
164,16528
165,16528
166,16528
167,16528
168,16528
169,113
169,16528
170,113
170,16528
171,113
171,16528
172,113
172,16528
173,113
173,16528
174,113
174,16528
175,113
175,16528
177,113
177,16528
179,46
179,146
179,152
179,568
179,16528
181,46
181,146
181,152
181,568
181,16528
183,46
183,146
183,152
183,568
183,16528
184,46
184,146
184,152
184,568
184,16528
186,46
186,146
186,152
186,568
186,16528
188,46
188,146
188,152
188,568
188,16528
190,46
190,146
190,152
190,568
193,46
193,146
193,152
193,568
195,46
195,146
195,152
195,568
196,46
196,146
196,152
196,568
198,46
198,146
198,152
198,568
199,46
199,146
199,152
199,568
201,46
201,146
201,152
201,568
203,46
203,146
203,152
203,568
205,46
205,146
205,152
205,568
208,46
208,146
208,568
209,46
209,146
209,568
210,46
210,146
210,568
212,46
212,146
212,568
213,46
213,146
213,568
214,46
214,146
214,568
216,46
216,146
216,568
217,46
217,146
217,568
217,587
218,46
218,146
218,568
218,587
219,46
219,146
219,587
220,46
220,146
221,146
221,568
223,146
223,568
227,568
234,75
236,75
237,75
239,75
240,75
242,75
243,75
244,75
245,75
246,75
247,75
248,75
249,67
249,75
250,67
250,75
251,67
251,75
252,75
254,67
254,75
255,67
255,75
256,67
256,75
257,67
257,75
258,67
258,68
258,75
259,67
259,68
259,75
260,67
260,68
260,75
261,67
261,68
261,75
262,67
262,75
264,68
265,75
266,75
267,75
268,75
269,75
270,75
271,75
272,75
274,75
276,75
278,75
282,75
284,75
285,75
286,75
287,67
287,75
289,67
289,75
291,67
291,75
292,67
292,75
299,67
299,75
300,67
300,75
302,75
303,75
304,75
307,75
309,75
312,75
314,75
316,75
317,75
318,75
319,75
320,75
321,75
322,75
323,75
324,75
326,68
326,75
327,68
328,67
329,67
329,68
329,75
330,67
330,68
330,75
331,67
331,68
331,75
332,67
332,68
332,75
333,67
333,75
334,67
334,75
335,67
335,75
336,67
336,75
337,67
337,75
338,67
338,75
339,67
339,75
340,67
340,75
341,67
341,75
342,67
342,75
343,75
344,75
345,75
347,75
348,75
350,75
352,75
354,75
356,75
361,75
361,415
361,446
361,452
364,68
364,75
365,68
365,75
366,75
367,75
369,75
370,75
371,75
372,75
372,452
373,75
373,452
374,75
374,452
375,75
375,452
376,75
377,75
378,75
380,75
381,75
382,75
384,75
385,75
387,75
388,75
389,75
390,75
392,75
393,75
395,75
397,75
400,75
401,75
402,75
404,75
405,75
407,75
408,75
409,75
410,75
412,75
413,75
414,75
415,75
416,75
416,452
417,75
417,452
418,75
418,452
419,75
419,452
420,75
420,452
421,75
422,75
423,75
423,452
425,68
425,75
426,68
426,75
427,68
427,75
429,111
429,16558
431,111
431,553
431,16558
432,111
432,553
432,16558
434,111
434,553
434,16558
435,111
435,553
435,16558
436,553
436,16558
437,553
437,16558
439,553
439,16558
440,553
440,16558
441,553
441,16558
442,553
442,16558
443,553
443,16558
444,553
444,16558
445,553
445,16558
446,553
446,16558
447,553
447,16558
449,553
449,16558
450,553
450,16558
451,553
452,553
453,553
454,553
455,553
456,553
457,553
458,553
459,553
460,553
461,553
462,553
463,553
464,553
465,553
466,553
467,553
468,553
493,146
493,568
494,146
494,568
495,146
495,568
496,146
496,568
497,146
497,568
498,146
498,568
499,146
499,568
500,146
500,568
501,146
501,568
502,146
502,568
503,146
503,568
504,146
504,568
505,146
505,568
506,146
506,568
507,146
507,568
508,146
508,568
509,146
509,568
510,146
510,568
511,146
511,568
512,146
512,568
518,568
519,146
519,568
520,146
520,568
521,146
521,568
522,146
522,568
523,146
523,568
524,146
524,568
525,146
525,568
526,146
526,568
527,146
527,568
528,146
529,146
529,568
530,146
530,568
531,146
531,568
532,146
532,568
533,146
533,568
534,146
534,568
535,146
535,568
536,146
536,568
537,146
537,568
538,146
538,568
539,146
539,568
540,146
540,568
541,146
541,568
542,46
542,146
542,568
542,587
543,46
543,146
543,568
543,587
544,46
544,146
544,568
544,587
