stopID,TAZ,access_time,block00ID
34,405,0.825089503,270531054003014
34,405,2.256854015,270531054003018
34,410,1.106796341,270531054003015
36,405,0.939347998,270531054003017
36,405,1.519966029,270531054002000
36,410,0.995406962,270531054001002
36,410,1.936130585,270531054001001
37,404,1.34553634,270531054002011
37,404,1.555717093,270530059011002
37,410,1.044783859,270531054001003
39,404,1.342984612,270530059011011
39,404,1.060637245,270530059011012
39,404,1.445298811,270530059011015
39,404,1.310837065,270530059011019
39,410,1.638892819,270530059011001
39,410,1.692906357,270530059011013
39,410,2.096464185,270530059011014
40,367,1.94503053,270530059021000
40,367,1.276451242,270530059021009
40,370,1.316663936,270530059021001
40,404,1.25141955,270530059011019
40,410,2.151959034,270530059011020
42,367,1.241247757,270530059021012
42,370,1.793115692,270530059021008
43,367,1.10792291,270530059022008
43,370,1.775054216,270530059022002
44,367,1.583626839,270530059022011
44,367,2.913436732,270530059022010
44,370,1.71074763,270531071002000
45,367,1.490452468,270531072001003
45,367,2.611657502,270531072001002
45,367,3.920398119,270531072001001
45,370,1.711661531,270531071002005
46,367,1.502454267,270531072001004
46,370,1.3102016,270531071002006
47,369,0.883668614,270530079001003
47,372,1.30135162,270531071003000
48,372,1.335003344,270530078022000
50,338,1.121418267,270530084001000
50,344,1.322581846,270530085004000
51,338,2.308884712,270530084001002
51,338,1.432739458,270530084001003
51,338,3.676392635,270530084002003
51,338,3.607961694,270530084002004
51,344,1.578163543,270530085004001
51,344,2.630350568,270530085004002
52,338,3.59645817,270530084002004
52,338,1.155797871,270530084001004
52,338,2.161662167,270530084001005
52,338,3.672153619,270530084002007
52,338,2.458268059,270530084001006
52,344,1.493347073,270530085004004
52,344,2.644769663,270530085004006
53,338,3.606799828,270530084002007
53,338,2.277677373,270530084001006
53,338,1.231045131,270530084001007
53,344,1.716015582,270530085004005
54,338,3.570857238,270530095001002
54,338,2.260571029,270530095001001
54,338,1.30573458,270530095001000
54,344,1.464984707,270530085004008
54,344,2.637114119,270530085004007
54,344,3.847404886,270530085003003
55,339,3.545661179,270530095001005
55,339,2.202775957,270530095001006
55,339,1.138782456,270530095001007
55,339,3.813136647,270530095002002
55,343,1.422782168,270530096001006
55,343,2.603376693,270530096001005
56,339,3.56199709,270530095002002
56,339,2.253732649,270530095002001
56,339,1.252612249,270530095002000
56,343,1.545287697,270530096002004
56,343,2.710919053,270530096002003
57,339,1.007550063,270530095002007
57,343,1.215549011,270530096002005
58,339,1.289915699,270530095003000
58,343,1.476522105,270530096003005
59,339,3.629788832,270530095003005
59,339,1.72932958,270530095003006
59,339,3.766271455,270530095003009
59,343,1.538494209,270530096003006
59,343,2.671576124,270530096003007
60,339,3.699359272,270530095003009
60,339,2.402687288,270530095003008
60,339,1.298310594,270530095003007
60,343,1.424146846,270530096004005
60,343,2.528845249,270530096004004
60,343,3.907261862,270530096004003
61,339,1.247895579,270530095003014
61,343,1.425734188,270530096004006
62,341,1.236848848,270531109001000
62,342,1.448651,270530110005005
63,341,1.247920901,270531109001007
63,341,3.522827247,270531109001005
63,341,2.216562748,270531109001006
63,341,3.807681823,270531109003002
63,342,1.530788306,270530110005006
63,342,2.696920566,270530110005007
64,341,3.613549799,270531109003002
64,341,2.309129639,270531109003001
64,341,1.319678695,270531109003000
64,341,3.761926979,270531109003016
65,341,3.610596307,270531109003016
65,341,2.308421764,270531109003017
65,341,1.226943855,270531109003018
66,320,3.531800488,270531109004002
66,320,2.268591978,270531109004001
66,320,4.852422809,270531109004003
67,320,3.59745183,270531109004016
67,320,2.331943414,270531109004017
67,320,1.339356965,270531109004018
67,320,4.932578145,270531109004015
67,320,1.708671546,270531116001000
67,320,3.849636959,270531116001002
67,320,2.659653232,270531116001001
68,319,1.709338151,270530117035009
68,319,5.469636155,270530117035013
68,320,1.424960874,270531116001000
68,320,3.564694919,270531116001002
68,320,2.284667249,270531116001001
68,320,6.34026782,270531116004000
68,320,4.931857302,270531116001003
68,320,5.044223311,270531116001004
68,320,3.784257837,270531116001005
69,318,4.333515764,270531116001011
69,318,4.655305122,270531116002001
69,318,6.724910698,270531116004011
69,318,6.766492353,270531116003001
69,318,6.863877472,270531116003000
69,318,5.142432327,270531116002002
69,319,1.125919038,270530117035010
69,319,2.570346143,270530117035011
69,319,3.50137665,270530117035017
69,320,5.016335818,270531116001004
69,320,3.429524008,270531116001005
69,320,2.2502209,270531116001006
69,320,2.074918685,270531116001009
69,320,1.410954135,270531116001007
69,320,7.780628348,270531116004009
69,320,6.40039032,270531116004010
69,320,1.190766104,270531116001008
70,318,6.789839597,270531116003000
70,318,2.861494618,270531116002000
70,318,4.924879275,270531116002002
70,318,3.483550262,270531116002003
70,318,6.124058891,270531116003006
70,318,2.36845548,270531116002004
70,318,4.826064649,270531116002010
70,318,3.901821232,270530117034012
70,318,1.306243234,270531116002006
70,318,8.282664356,270531116003004
70,318,3.596466023,270531116002012
70,320,2.252000751,270531116001010
71,318,8.275252808,270531116003004
71,318,2.217505955,270531116002005
71,318,3.522555597,270531116002012
71,318,5.062402855,270531116002011
71,318,4.888786747,270531116002010
71,318,1.691432099,270531116002007
71,318,4.024442045,270531116002009
71,318,2.590558949,270531116002008
72,318,1.285439331,270531116002007
72,318,1.584610604,270530117033004
72,318,2.724856883,270530117033005
72,318,3.856812903,270531116002009
72,318,2.203680961,270531116002008
72,318,4.027692406,270530117033006
72,318,4.163765554,270531116002013
73,318,1.380697874,270531116002015
73,318,3.949394578,270531116002013
73,318,2.274251058,270531116002014
74,317,2.307557158,270531116002017
74,317,1.401630117,270531116002016
75,317,1.300780802,270530120031000
75,317,1.531527255,270530117042003
75,317,2.63866576,270530117042002
76,317,2.168499165,270530120031004
76,317,0.872827388,270530117042011
78,317,1.278986889,270530120031008
78,317,2.224336603,270530120031007
78,317,1.620990501,270530117043008
78,317,2.670498346,270530117043007
79,317,1.23241465,270530120031009
79,317,1.520485898,270530117043009
79,317,2.59804191,270530117043010
79,317,2.879531468,270530117044011
79,317,1.790723578,270530120032000
79,317,2.000313877,270530117044012
79,317,4.267528561,270530117044013
79,317,5.012493335,270530117044014
80,334,3.559712721,270530081003005
80,334,1.134439578,270530081003007
80,334,2.152752611,270530081003006
80,334,1.573708658,270530081001006
80,334,2.793278672,270530081001007
81,334,3.617878242,270531092001004
81,334,2.289963456,270531092001003
81,334,1.316494829,270531092001002
81,334,1.672192986,270531092001001
81,334,2.770857556,270531092001000
83,335,1.167715622,270531092002002
83,335,1.430212832,270531092002001
84,335,2.59570537,270531092002004
85,335,1.118861122,270531099004001
88,335,1.348319491,270531099004005
88,335,2.326410457,270531099004004
88,335,1.671178163,270531099004006
88,335,2.794091675,270531099004009
89,335,4.787747432,270531099004014
89,335,2.374098263,270531099004013
89,335,1.424305968,270531099004012
89,335,1.579944948,270531099004011
89,335,2.773135341,270531099004010
89,335,3.857031702,270530107003002
89,335,5.477790885,270530107003003
90,335,3.833972485,270530107003002
90,335,1.396542655,270530107003000
90,335,5.412822855,270530107003003
90,335,2.406439146,270530107003001
90,335,1.548120928,270530107001001
90,335,2.735529134,270530107001000
91,335,5.537915751,270530107003004
91,335,3.866155813,270530107003005
91,335,1.522338646,270530107001002
91,335,2.365665883,270530107003006
91,335,1.40108912,270530107003007
91,335,2.761850529,270530107001003
94,335,7.387891481,270531099004016
94,335,3.832655165,270530107003010
94,335,6.043022713,270530107003011
94,335,2.40976393,270530107003009
94,335,1.451534948,270530107003008
94,335,2.80638932,270530107001004
94,335,1.617622179,270530107001005
95,322,9.045390388,270531099004017
95,322,8.152618838,270530107002007
95,322,6.805065036,270530107002006
95,335,2.369587364,270530107003012
95,335,1.418764106,270530107003013
95,335,1.532408782,270530107001006
96,322,8.905081011,270531099004017
96,322,8.114815331,270530107002007
96,322,6.695678678,270530107002006
96,322,5.013595674,270530107002005
96,322,3.673600891,270530107002004
96,322,2.415699723,270530107002003
96,322,1.402428883,270530107002002
96,322,1.614169179,270530107002001
96,322,6.408650359,270530107002010
96,322,5.024639308,270530107002011
96,322,3.713434758,270530107002012
97,322,6.390451631,270530107002010
97,322,4.998095424,270530107002011
97,322,3.642118986,270530107002012
97,322,2.373470669,270530107002013
97,322,1.354009456,270530107002014
97,322,1.579975888,270530107002015
97,322,2.706592072,270530107002016
98,322,3.68513081,270531114001004
98,322,2.443697036,270531114001003
98,322,1.465716159,270531114001002
98,322,1.567063611,270531114001001
98,322,2.667001769,270531114001000
101,321,1.95195686,270531115008008
101,322,1.335556007,270531114002000
101,322,1.731153501,270531114001015
102,374,2.260224796,270531056001008
102,375,1.351310704,270531067005005
103,374,1.621999807,270530068003003
104,375,1.322777086,270531067001001
105,375,3.764345628,270531067002006
106,373,4.099889224,270531070003006
106,374,1.667752019,270531070003003
106,374,2.751806224,270531070003002
106,375,3.669860289,270531067002006
106,375,2.358396897,270531067002005
106,375,1.45739419,270531067001003
106,375,3.840311323,270531067002007
107,373,1.701961794,270531070003004
107,373,2.810326153,270531070003005
107,375,5.0309514,270531067004005
107,375,3.677323967,270531067002007
107,375,2.354951694,270531067002008
107,375,1.46642845,270531067001004
107,375,5.108349946,270531067003002
107,375,3.759464623,270531067003001
110,334,1.261094955,270530081001000
110,334,1.883883903,270530081001003
110,337,1.437900464,270530082004003
111,334,0.99540152,270530081002007
111,334,3.476322776,270530081002005
111,334,2.111647872,270530081002006
111,334,1.375934218,270530081001002
112,334,3.617893338,270530081002005
112,334,2.327410629,270530081002006
113,334,3.637804237,270530081003002
113,334,2.308562461,270530081003001
113,334,1.388999028,270530081003000
113,334,1.718995462,270530081001005
113,334,2.807182469,270530081001004
113,334,3.675196068,270530081003005
119,335,1.03656622,270531099004007
119,335,2.461791241,270531099004008
119,335,1.661776517,270531099004002
134,321,1.332925802,270531115007004
134,322,1.447362463,270531114002000
135,321,1.793445765,270531115007007
135,321,3.016891385,270531115007006
135,321,1.271756584,270531115007005
